,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_p,param_n_neighbors,param_leaf_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
80,0.005490827560424805,0.000867381397227088,0.08247361183166504,0.014726877881898194,distance,1,18,11,"{'weights': 'distance', 'p': 1, 'n_neighbors': 18, 'leaf_size': 11}",0.5776957595430599,0.7315297578349795,0.7510402715351,0.918615164580907,0.7966739195824638,0.7551109746153021,0.11000900097554711,68,1.0,1.0,1.0,1.0,1.0,1.0,0.0
81,0.008082342147827149,0.003271549834506816,0.02250070571899414,0.006469859927221003,distance,2,18,17,"{'weights': 'distance', 'p': 2, 'n_neighbors': 18, 'leaf_size': 17}",0.5776957595430599,0.7620922384701913,0.7510402715351,0.918615164580907,0.7966739195824638,0.7612234707423443,0.1093761881707761,52,1.0,1.0,1.0,1.0,1.0,1.0,0.0
82,0.0051002979278564455,0.000941374671212429,0.08154888153076172,0.01613853919972122,distance,1,13,11,"{'weights': 'distance', 'p': 1, 'n_neighbors': 13, 'leaf_size': 11}",0.5776957595430599,0.7510402715351,0.7257846945650099,0.918615164580907,0.8237210650499763,0.7593713910548107,0.11287423866308727,55,1.0,1.0,1.0,1.0,1.0,1.0,0.0
83,0.006725788116455078,0.0006419925019015042,0.031536197662353514,0.002418163959748843,uniform,2,3,15,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 3, 'leaf_size': 15}",0.6289321748328134,0.7257846945650099,0.8532477818768943,0.928019650891588,0.8966167345234255,0.8065202073379464,0.11235541600543733,14,0.9326054975650483,0.8961224457642414,0.8744768280917526,0.8468742264810064,0.8566875845089076,0.8813533164821912,0.03062484389893731
84,0.005573654174804687,0.0009470695380676827,0.08458871841430664,0.009205400681619317,uniform,1,12,5,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 12, 'leaf_size': 5}",0.5776957595430599,0.7620922384701913,0.7510402715351,0.918615164580907,0.7782896421160245,0.7575466152490564,0.10842755760842572,58,0.793076519189221,0.7582194891451612,0.8017047055508594,0.7659123143357005,0.7388958454643235,0.7715617747370531,0.023015109948818523
85,0.006703567504882812,0.000831841942778012,0.030751705169677734,0.0020349566441856797,uniform,2,4,25,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 4, 'leaf_size': 25}",0.6319562375559413,0.8413948256467941,0.7620922384701913,0.9206974128233971,0.8852704127574261,0.80828222545075,0.10284470675040372,13,0.888688156346107,0.8501303281328207,0.8591272166741302,0.8501303281328207,0.807432747365859,0.8511017553303477,0.026023124982602622
86,0.0050964832305908205,0.0009162167273250291,0.08677973747253417,0.010027755994727704,uniform,1,17,33,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 17, 'leaf_size': 33}",0.5776957595430599,0.7315297578349795,0.7510402715351,0.918615164580907,0.7966739195824638,0.7551109746153021,0.11000900097554711,68,0.759732699536374,0.717243964789844,0.7463891272586417,0.7463891272586417,0.7269204466583616,0.7393350731003726,0.015216586610935025
87,0.007250261306762695,0.0006230954943132334,0.13033137321472169,0.0044617001679700865,uniform,1,10,29,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 10, 'leaf_size': 29}",0.6034870641169854,0.7315297578349795,0.7510402715351,0.918615164580907,0.7782896421160245,0.7565923800367993,0.10081899880132983,62,0.8276410603047738,0.7741183805893768,0.7901624813145642,0.7659123143357005,0.7659590233023643,0.7847586519693559,0.02319451733274812
88,0.009228706359863281,0.0030950693580738555,0.0497227668762207,0.011120385407622656,uniform,2,8,23,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 8, 'leaf_size': 23}",0.5776957595430599,0.7620922384701913,0.7968511125745006,0.9598525742455006,0.7782896421160245,0.7749562653898553,0.1214531441483531,36,0.8276410603047738,0.7775957123029265,0.8101517635873164,0.7934689819104465,0.7854783116243657,0.7988671659459657,0.017978630045214
89,0.005372953414916992,0.0010175985088442985,0.08513002395629883,0.009740301618453207,uniform,1,18,11,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 18, 'leaf_size': 11}",0.5241844769403825,0.7315297578349795,0.703704043847507,0.918615164580907,0.8237210650499763,0.7403509016507506,0.1318161291499477,99,0.7815593143336087,0.7463891272586417,0.758358753551727,0.7180513683027657,0.7261562759194296,0.7461029678732345,0.02276928383797347
90,0.004697847366333008,5.6503171119686086e-05,0.07265005111694336,0.0015433837482936089,distance,1,7,17,"{'weights': 'distance', 'p': 1, 'n_neighbors': 7, 'leaf_size': 17}",0.5776957595430599,0.7784759128622006,0.7510402715351,0.9598525742455006,0.8237210650499763,0.7781571166471675,0.12329597991646009,30,1.0,1.0,1.0,1.0,1.0,1.0,0.0
91,0.004630422592163086,0.0001114066115190871,0.07159733772277832,0.0003681483960561487,distance,1,11,21,"{'weights': 'distance', 'p': 1, 'n_neighbors': 11, 'leaf_size': 21}",0.5776957595430599,0.7510402715351,0.7257846945650099,0.9206974128233971,0.7782896421160245,0.7507015561165182,0.10973756344329004,86,1.0,1.0,1.0,1.0,1.0,1.0,0.0
92,0.006259727478027344,0.0009312465307852264,0.028956222534179687,0.00029310340382164676,uniform,2,9,35,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 9, 'leaf_size': 35}",0.5776957595430599,0.7315297578349795,0.7968511125745006,0.9598525742455006,0.7782896421160245,0.768843769262813,0.12270932844972424,39,0.8345203919504105,0.7741183805893768,0.7854355014127594,0.769941561776076,0.7668934297803884,0.7861818531018022,0.024973942758366018
93,0.0069730281829833984,0.0002290504053367591,0.031447219848632815,0.0032215484411815425,uniform,2,2,37,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 2, 'leaf_size': 37}",0.6827896512935883,0.7620922384701913,0.8778784900731108,0.918615164580907,0.9206349206349206,0.8324020930105437,0.09445971271603228,1,0.9496423492651626,0.93936913365113,0.9290229585901248,0.8975189159434884,0.9290354116590523,0.9289177538217915,0.01746225717452591
