,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_penalty,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
61,0.12413363456726074,0.0033435966528922493,0.0047130584716796875,0.0013113223074322775,l2,2.838,"{'penalty': 'l2', 'C': 2.838}",0.703704043847507,0.8413278632969932,0.7968511125745006,1.0,0.750825395576527,0.8185416830591056,0.10167594662939679,32,0.936277876077207,0.9199156914527407,0.936277876077207,0.9280050074679562,0.928019650891588,0.9296992203933397,0.006131332169978229
62,0.07217955589294434,0.013127251118906095,0.0069163799285888675,0.0036863561786563918,l2,0.081,"{'penalty': 'l2', 'C': 0.081}",0.6236626951475239,0.7721902213897955,0.6414833531833596,0.7718739823105317,0.6875521968931968,0.6993524897848815,0.06289949271508943,99,0.754453230514988,0.7067684574431943,0.7715476622434105,0.729514082578916,0.7359902645107732,0.7396547394582564,0.02206319425965068
63,0.2015202522277832,0.02605762115423887,0.009635686874389648,0.001879948629244651,l2,2.149,"{'penalty': 'l2', 'C': 2.149}",0.703704043847507,0.8413278632969932,0.7968511125745006,1.0,0.7255423196197438,0.813485067867749,0.10547561788267058,38,0.9199156914527407,0.9120029863624695,0.9120029863624695,0.9042603133817209,0.9042800515129292,0.9104924058144659,0.005844558862097771
64,0.18674674034118652,0.009421101609706082,0.00960545539855957,0.0003115623997665646,l2,0.498,"{'penalty': 'l2', 'C': 0.498}",0.6127340136536147,0.7936757901325451,0.7968511125745006,0.962280755272859,0.771671104837344,0.7874425552941727,0.11087613224686131,63,0.8678896948710082,0.854335796374339,0.8477529567085876,0.8049254254823035,0.8349900020404533,0.8419787750953382,0.021350440642629073
65,0.19111452102661133,0.010773202666849951,0.009786844253540039,0.0006874169380635269,l1,5.768000000000001,"{'penalty': 'l1', 'C': 5.768000000000001}",0.6782089934838971,0.7257846945650099,0.7718739823105317,1.0,0.7782896421160245,0.7908314624950926,0.11061922341043477,56,0.9534040114795577,0.9713579438805788,0.9534040114795577,0.9534040114795577,0.9713636347030061,0.9605867226044517,0.008796988796972431
66,0.20346660614013673,0.0027272244093690078,0.009843587875366211,0.0013883371684860763,l2,3.815,"{'penalty': 'l2', 'C': 3.815}",0.703704043847507,0.8679175305839911,0.7968511125745006,1.0,0.7782896421160245,0.8293524658244046,0.10005910354740821,16,0.936277876077207,0.936277876077207,0.9622732235384021,0.9280050074679562,0.9534133579454487,0.9432494682212443,0.012607995069772358
67,0.06000595092773438,0.005668076049362297,0.004781484603881836,5.803815395801077e-05,l1,0.509,"{'penalty': 'l1', 'C': 0.509}",0.6604516396460107,0.6699731070124156,0.6878498776408093,0.8413278632969932,0.7268120436145384,0.7172829062421535,0.06604887428037863,97,0.7769728918652598,0.7436584150273525,0.7557963827192561,0.729514082578916,0.7086054553278751,0.742909445503732,0.023165284259173986
68,0.1332493782043457,0.007092256812568984,0.004091835021972657,0.00026018096837655694,l2,4.265000000000001,"{'penalty': 'l2', 'C': 4.265000000000001}",0.703704043847507,0.8679175305839911,0.7968511125745006,1.0,0.7782896421160245,0.8293524658244046,0.10005910354740821,16,0.936277876077207,0.9447416279879748,0.9622732235384021,0.936277876077207,0.9534133579454487,0.946596792325248,0.010085809459053952
69,0.1340996265411377,0.016142765826722624,0.004809665679931641,0.0007688497172091836,l1,8.632,"{'penalty': 'l1', 'C': 8.632}",0.6289321748328134,0.7024201013240704,0.7718739823105317,1.0,0.7782896421160245,0.776303180116688,0.1242905898132628,79,0.9806673721833482,0.9806673721833482,0.9806673721833482,0.9806673721833482,0.9902131950093671,0.9825765367485519,0.0038183291304075607
70,0.11572637557983398,0.009124750288382315,0.0047332763671875,0.0004052979074302266,l1,4.635000000000001,"{'penalty': 'l1', 'C': 4.635000000000001}",0.6782089934838971,0.7718739823105317,0.7718739823105317,1.0,0.7782896421160245,0.8000493200441972,0.10666444814225448,47,0.936277876077207,0.9622732235384021,0.9280050074679562,0.9199156914527407,0.928019650891588,0.9348982898855788,0.014632850188907462
71,0.14144587516784668,0.004311300555425522,0.004316568374633789,0.0006569214564799384,l2,6.093000000000001,"{'penalty': 'l2', 'C': 6.093000000000001}",0.7315297578349795,0.8679175305839911,0.7968511125745006,1.0,0.7782896421160245,0.8349176086218991,0.09347301556585413,4,0.9447416279879748,0.9713579438805788,0.9713579438805788,0.9534040114795577,0.9713636347030061,0.9624450323863393,0.011256749408421989
72,0.12580385208129882,0.007291345347408633,0.003906440734863281,5.5241003391530555e-05,l2,3.166,"{'penalty': 'l2', 'C': 3.166}",0.703704043847507,0.8679175305839911,0.7968511125745006,1.0,0.7782896421160245,0.8293524658244046,0.10005910354740821,16,0.936277876077207,0.9199156914527407,0.9534040114795577,0.9280050074679562,0.9362907774551166,0.9347786727865156,0.011119604925015559
73,0.13508319854736328,0.010331223505534275,0.005150985717773437,0.0014140464177094113,l2,4.2860000000000005,"{'penalty': 'l2', 'C': 4.2860000000000005}",0.703704043847507,0.8679175305839911,0.7968511125745006,1.0,0.7782896421160245,0.8293524658244046,0.10005910354740821,16,0.936277876077207,0.9447416279879748,0.9622732235384021,0.936277876077207,0.9534133579454487,0.946596792325248,0.010085809459053952
74,0.10919904708862305,0.008086745504935475,0.004830503463745117,0.00038783445834181474,l1,3.605,"{'penalty': 'l1', 'C': 3.605}",0.6547182765555194,0.8166572927845973,0.7486828664076032,1.0,0.750825395576527,0.7941767662648493,0.1151227903019939,55,0.9280050074679562,0.9447416279879748,0.9280050074679562,0.9042603133817209,0.9042800515129292,0.9218584015637076,0.015607015589389596
75,0.09258518218994141,0.006604453783425189,0.004766511917114258,3.27189522092142e-05,l1,2.639,"{'penalty': 'l1', 'C': 2.639}",0.632966220337609,0.8166572927845973,0.7486828664076032,0.962280755272859,0.750825395576527,0.782282506075839,0.10769849994194633,72,0.9199156914527407,0.9042603133817209,0.9042603133817209,0.8892604203111264,0.8820163013830934,0.8999426079820806,0.01320356637337426
