,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_break_ties,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
80,0.13324995040893556,0.002369840904646632,0.06348919868469238,0.002944600484612014,4.492,False,1.4744000000000002,"{'gamma': 4.492, 'break_ties': False, 'C': 1.4744000000000002}",0.5146447593854211,0.4440776609379258,0.2545504240172209,0.6883898583033639,0.6348110542727385,0.507294751383334,0.152961409127088,81,1.0,1.0,1.0,1.0,1.0,1.0,0.0
81,0.13077168464660643,0.0033095540345275533,0.06463274955749512,0.004758016377838996,3.5909999999999997,False,0.6900000000000001,"{'gamma': 3.5909999999999997, 'break_ties': False, 'C': 0.6900000000000001}",0.5146447593854211,0.5146447593854211,0.36128126453898207,0.6883898583033639,0.6882472016116854,0.5534415686449746,0.12354721109991271,69,1.0,1.0,1.0,1.0,1.0,1.0,0.0
82,0.13183093070983887,0.0077184792521310325,0.06099686622619629,0.0018380206850826166,2.275,True,0.3772,"{'gamma': 2.275, 'break_ties': True, 'C': 0.3772}",0.6349603162203157,0.6349603162203157,0.6883898583033639,0.7386811483197074,0.7863336509949341,0.6966650580117273,0.05914260336112913,47,1.0,1.0,1.0,1.0,1.0,1.0,0.0
83,0.13373956680297852,0.010374390809420013,0.06925420761108399,0.01362808085318247,1.297,True,2.4588000000000005,"{'gamma': 1.297, 'break_ties': True, 'C': 2.4588000000000005}",0.7386811483197074,0.7864518380082112,0.6883898583033639,0.9598525742455006,0.8320502943378436,0.8010851426429253,0.09270874519867789,26,1.0,1.0,1.0,1.0,1.0,1.0,0.0
84,0.16526503562927247,0.005971665476810394,0.10070185661315918,0.003181544507533254,4.205,True,1.6119,"{'gamma': 4.205, 'break_ties': True, 'C': 1.6119}",0.5146447593854211,0.4440776609379258,0.2545504240172209,0.6883898583033639,0.6348110542727385,0.507294751383334,0.152961409127088,81,1.0,1.0,1.0,1.0,1.0,1.0,0.0
85,0.1385251522064209,0.014624699606524356,0.07020831108093262,0.013475494923645921,1.682,False,0.2304,"{'gamma': 1.682, 'break_ties': False, 'C': 0.2304}",0.6349603162203157,0.7386811483197074,0.6883898583033639,0.918615164580907,0.7863336509949341,0.7533960276838456,0.09680041085500682,39,1.0,1.0,1.0,1.0,1.0,1.0,0.0
86,0.04091930389404297,0.0025708510637927322,0.018130970001220704,0.0005325315461458991,0.062,False,2.6511000000000005,"{'gamma': 0.062, 'break_ties': False, 'C': 2.6511000000000005}",0.6782089934838971,0.7486828664076032,0.823871549586303,0.962280755272859,0.8237210650499763,0.8073530459601276,0.0945132206440693,25,0.9280050074679562,0.9120029863624695,0.8966814324875407,0.881991649743331,0.9199320544788414,0.9077226261080277,0.01650913516768867
87,0.12281303405761719,0.0026930105804071937,0.045696258544921875,0.0012391556780427552,0.9460000000000001,False,2.1547000000000005,"{'gamma': 0.9460000000000001, 'break_ties': False, 'C': 2.1547000000000005}",0.7386811483197074,0.7864518380082112,0.8321511061506978,0.9598525742455006,0.8760375907831331,0.83863485150145,0.0759586069432292,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
88,0.13125767707824706,0.006233857388722622,0.06403894424438476,0.004484490121891231,3.735,True,0.8621,"{'gamma': 3.735, 'break_ties': True, 'C': 0.8621}",0.5146447593854211,0.5146447593854211,0.36128126453898207,0.6883898583033639,0.6882472016116854,0.5534415686449746,0.12354721109991271,69,1.0,1.0,1.0,1.0,1.0,1.0,0.0
89,0.13280959129333497,0.004890090157291021,0.06144561767578125,0.001774070161336586,2.9939999999999998,False,3.5631000000000004,"{'gamma': 2.9939999999999998, 'break_ties': False, 'C': 3.5631000000000004}",0.6349603162203157,0.5146447593854211,0.4440776609379258,0.7386811483197074,0.7385489458759964,0.6141825661478733,0.11852599885182494,66,1.0,1.0,1.0,1.0,1.0,1.0,0.0
90,0.1446904182434082,0.016375707659019963,0.07827816009521485,0.021025646599410988,4.245,True,2.0066,"{'gamma': 4.245, 'break_ties': True, 'C': 2.0066}",0.5146447593854211,0.4440776609379258,0.2545504240172209,0.6883898583033639,0.6348110542727385,0.507294751383334,0.152961409127088,81,1.0,1.0,1.0,1.0,1.0,1.0,0.0
91,0.16554336547851561,0.005072539215024895,0.0991288185119629,0.003279984311696661,3.8569999999999998,True,2.9083000000000006,"{'gamma': 3.8569999999999998, 'break_ties': True, 'C': 2.9083000000000006}",0.5146447593854211,0.5146447593854211,0.36128126453898207,0.6883898583033639,0.6882472016116854,0.5534415686449746,0.12354721109991271,69,1.0,1.0,1.0,1.0,1.0,1.0,0.0
92,0.13583226203918458,0.003587870685417499,0.06598911285400391,0.005795547447830878,4.3740000000000006,False,2.5713000000000004,"{'gamma': 4.3740000000000006, 'break_ties': False, 'C': 2.5713000000000004}",0.5146447593854211,0.4440776609379258,0.2545504240172209,0.6883898583033639,0.6348110542727385,0.507294751383334,0.152961409127088,81,1.0,1.0,1.0,1.0,1.0,1.0,0.0
93,0.12994627952575682,0.006813364148141121,0.05848751068115234,0.0009843661256643639,1.468,True,1.3452,"{'gamma': 1.468, 'break_ties': True, 'C': 1.3452}",0.6349603162203157,0.7864518380082112,0.6883898583033639,0.9598525742455006,0.8320502943378436,0.780340976223047,0.11360119226992191,32,1.0,1.0,1.0,1.0,1.0,1.0,0.0
94,0.13249506950378417,0.003512237218523633,0.06531796455383301,0.004561554894220539,4.15,True,4.0632,"{'gamma': 4.15, 'break_ties': True, 'C': 4.0632}",0.5146447593854211,0.4440776609379258,0.2545504240172209,0.6883898583033639,0.6348110542727385,0.507294751383334,0.152961409127088,81,1.0,1.0,1.0,1.0,1.0,1.0,0.0
95,0.13028302192687988,0.002660059050939293,0.06422467231750488,0.005076959891051,4.369000000000001,True,3.9644000000000004,"{'gamma': 4.369000000000001, 'break_ties': True, 'C': 3.9644000000000004}",0.5146447593854211,0.4440776609379258,0.2545504240172209,0.6883898583033639,0.6348110542727385,0.507294751383334,0.152961409127088,81,1.0,1.0,1.0,1.0,1.0,1.0,0.0
