,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_break_ties,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
50,0.03220334053039551,0.0014860381485873866,0.006056737899780273,0.0003624959356806828,3.668,True,0.6115,"{'gamma': 3.668, 'break_ties': True, 'C': 0.6115}",0.703704043847507,0.7968511125745006,0.7968511125745006,0.962280755272859,0.7782896421160245,0.8075953332770783,0.08462940374218664,89,0.936277876077207,0.9199156914527407,0.9534040114795577,0.9280050074679562,0.9447527640158404,0.9364710700986605,0.011841478458819792
51,0.02722134590148926,0.000843117023903921,0.005077075958251953,9.13490324036395e-05,1.1039999999999999,False,4.6495,"{'gamma': 1.1039999999999999, 'break_ties': False, 'C': 4.6495}",0.7139303217283312,0.8084467569809394,0.7315297578349795,1.0,0.8412698412698413,0.8190353355628183,0.10203821939049368,33,1.0,1.0,0.9902112688899151,0.9902112688899151,1.0,0.9960845075559661,0.004795479289803129
52,0.027531528472900392,0.0026355729268379854,0.005323886871337891,0.0005364829153625272,1.9669999999999999,True,3.97,"{'gamma': 1.9669999999999999, 'break_ties': True, 'C': 3.97}",0.7139303217283312,0.7620922384701913,0.7315297578349795,1.0,0.8412698412698413,0.8097644318606687,0.10465146068235805,63,1.0,1.0,0.9902112688899151,0.9902112688899151,1.0,0.9960845075559661,0.004795479289803129
53,0.026194095611572266,0.0009544923373473702,0.00511636734008789,0.00015785964731023815,2.488,True,3.9420000000000006,"{'gamma': 2.488, 'break_ties': True, 'C': 3.9420000000000006}",0.7139303217283312,0.7620922384701913,0.7315297578349795,1.0,0.8412698412698413,0.8097644318606687,0.10465146068235805,63,1.0,1.0,0.9902112688899151,0.9902112688899151,1.0,0.9960845075559661,0.004795479289803129
54,0.02727231979370117,0.0010594373797089645,0.00533294677734375,0.0001546801972868625,2.887,False,1.9955,"{'gamma': 2.887, 'break_ties': False, 'C': 1.9955}",0.7620922384701913,0.7315297578349795,0.7315297578349795,1.0,0.8777866799791539,0.820587686823861,0.1046373258898242,7,0.9806673721833482,0.9902112688899151,0.9902112688899151,0.9902112688899151,1.0,0.9902602357706186,0.006113807852952743
55,0.026609516143798827,0.0005371885739125894,0.005274152755737305,0.0004400837212153777,4.893000000000001,False,4.7229,"{'gamma': 4.893000000000001, 'break_ties': False, 'C': 4.7229}",0.7139303217283312,0.8084467569809394,0.7315297578349795,1.0,0.8412698412698413,0.8190353355628183,0.10203821939049368,33,1.0,1.0,1.0,0.9902112688899151,1.0,0.9980422537779831,0.003915492444033974
56,0.027254390716552734,0.0011179251200316277,0.005196571350097656,0.0001890957256862737,4.017,False,4.62,"{'gamma': 4.017, 'break_ties': False, 'C': 4.62}",0.7139303217283312,0.8084467569809394,0.7315297578349795,1.0,0.8412698412698413,0.8190353355628183,0.10203821939049368,33,1.0,1.0,0.9902112688899151,0.9902112688899151,1.0,0.9960845075559661,0.004795479289803129
57,0.027948665618896484,0.0007138727072937854,0.0058802604675292965,0.001309309473540623,1.589,False,2.3760000000000003,"{'gamma': 1.589, 'break_ties': False, 'C': 2.3760000000000003}",0.7620922384701913,0.7315297578349795,0.7315297578349795,1.0,0.8777866799791539,0.820587686823861,0.1046373258898242,7,0.9902112688899151,1.0,0.9902112688899151,0.9902112688899151,1.0,0.9941267613339491,0.004795479289803129
58,0.028035736083984374,0.000713437719922536,0.005362558364868164,0.00016164339391513467,3.741,False,1.9557,"{'gamma': 3.741, 'break_ties': False, 'C': 1.9557}",0.7620922384701913,0.7315297578349795,0.7315297578349795,1.0,0.8777866799791539,0.820587686823861,0.1046373258898242,7,0.9806673721833482,0.9902112688899151,0.9902112688899151,0.9902112688899151,1.0,0.9902602357706186,0.006113807852952743
59,0.027070093154907226,0.0015977030688535474,0.0055908203125,0.0010050601597606115,1.6909999999999998,False,3.2434000000000003,"{'gamma': 1.6909999999999998, 'break_ties': False, 'C': 3.2434000000000003}",0.7139303217283312,0.7620922384701913,0.7315297578349795,1.0,0.8412698412698413,0.8097644318606687,0.10465146068235805,63,0.9902112688899151,1.0,0.9902112688899151,0.9902112688899151,1.0,0.9941267613339491,0.004795479289803129
60,0.028057622909545898,0.0012487733780556561,0.0057469367980957035,0.0003717729211839141,0.361,False,2.7946000000000004,"{'gamma': 0.361, 'break_ties': False, 'C': 2.7946000000000004}",0.7620922384701913,0.7620922384701913,0.7315297578349795,1.0,0.8412698412698413,0.8193968152090406,0.09734905076856969,26,0.9902112688899151,1.0,0.9902112688899151,0.9902112688899151,1.0,0.9941267613339491,0.004795479289803129
61,0.03529868125915527,0.0029283412300978836,0.006844854354858399,0.0006515696083562642,3.958,False,0.5699,"{'gamma': 3.958, 'break_ties': False, 'C': 0.5699}",0.703704043847507,0.7968511125745006,0.7968511125745006,0.962280755272859,0.7782896421160245,0.8075953332770783,0.08462940374218664,89,0.936277876077207,0.9199156914527407,0.9534040114795577,0.9280050074679562,0.9447527640158404,0.9364710700986605,0.011841478458819792
62,0.027216148376464844,0.0010601995102179646,0.006112575531005859,0.0007236166249924772,4.4190000000000005,True,3.1740000000000004,"{'gamma': 4.4190000000000005, 'break_ties': True, 'C': 3.1740000000000004}",0.7139303217283312,0.7620922384701913,0.7315297578349795,1.0,0.8412698412698413,0.8097644318606687,0.10465146068235805,63,0.9902112688899151,1.0,0.9902112688899151,0.9902112688899151,1.0,0.9941267613339491,0.004795479289803129
63,0.028865671157836913,0.0012926354911680046,0.005690431594848633,0.00017087774758181687,2.074,True,2.8869000000000002,"{'gamma': 2.074, 'break_ties': True, 'C': 2.8869000000000002}",0.7620922384701913,0.7620922384701913,0.7315297578349795,1.0,0.8412698412698413,0.8193968152090406,0.09734905076856969,26,0.9902112688899151,1.0,0.9902112688899151,0.9902112688899151,1.0,0.9941267613339491,0.004795479289803129
64,0.028794050216674805,0.002505617567519997,0.005623579025268555,0.000221306284568271,4.495,True,3.8934,"{'gamma': 4.495, 'break_ties': True, 'C': 3.8934}",0.7139303217283312,0.7620922384701913,0.7315297578349795,1.0,0.8412698412698413,0.8097644318606687,0.10465146068235805,63,1.0,1.0,0.9902112688899151,0.9902112688899151,1.0,0.9960845075559661,0.004795479289803129
